,btc_price,btc_holdings,mstr_prc_adj,shares,debt_total_usd,rf_rate,asset_btc_usd,preferred_liq,nav_raw,nav,nav_clip,equity_value,premium,btc_per_share,is_nav_nonpositive,is_nav_tiny
2021-04-10,59769.13,91579.0,711.0,7623000.0,1754414000.0,0.0002,5473597156.2699995,10229353900.0,-6510170743.7300005,0.0,1.0,5419953000.0,22.413352980773652,0.012013511740784468,True,False
2021-04-11,60002.43,91579.0,711.0,7623000.0,1754414000.0,0.0002,5494962536.97,10229353900.0,-6488805363.03,0.0,1.0,5419953000.0,22.413352980773652,0.012013511740784468,True,False
2021-04-12,59860.0,91579.0,718.24,7623000.0,1754414000.0,0.0002,5481918940.0,10229353900.0,-6501848960.0,0.0,1.0,5475143520.0,22.423484326004033,0.012013511740784468,True,False
2021-04-13,63575.0,91579.0,848.54,7623000.0,1754414000.0,0.0003,5822134925.0,10229353900.0,-6161632975.0,0.0,1.0,6468420420.0,22.590197776548862,0.012013511740784468,True,False
2021-04-14,62959.53,91579.0,735.5,7623000.0,1754414000.0,0.0002,5765770797.87,10229353900.0,-6217997102.13,0.0,1.0,5606716500.0,22.447231091011904,0.012013511740784468,True,False
2021-04-15,63159.98,91579.0,740.15,7623000.0,1754414000.0,0.0002,5784127808.42,10229353900.0,-6199640091.58,0.0,1.0,5642163450.0,22.45353341932991,0.012013511740784468,True,False
2021-04-16,61334.8,91579.0,693.62,7782000.0,1754414000.0,0.0002,5616979649.2,10229353900.0,-6366788250.8,0.0,1.0,5397750840.0,22.409248192640682,0.011768054484708301,True,False
2021-04-17,60006.66,91579.0,693.62,7782000.0,1754414000.0,0.0002,5495349916.14,10229353900.0,-6488417983.86,0.0,1.0,5397750840.0,22.409248192640682,0.011768054484708301,True,False
2021-04-18,56150.01,91579.0,693.62,7782000.0,1754414000.0,0.0002,5142161765.79,10229353900.0,-6841606134.21,0.0,1.0,5397750840.0,22.409248192640682,0.011768054484708301,True,False
2021-04-19,55633.14,91579.0,637.52,7782000.0,1754414000.0,0.0002,5094827328.06,10229353900.0,-6888940571.94,0.0,1.0,4961180640.0,22.32490958161613,0.011768054484708301,True,False
2021-04-20,56425.0,91579.0,646.45,7782000.0,1754414000.0,0.0003,5167345075.0,10229353900.0,-6816422825.0,0.0,1.0,5030673900.0,22.338819788227198,0.011768054484708301,True,False
2021-04-21,53787.63,91579.0,650.46,7782000.0,1754414000.0,0.0003,4925817367.7699995,10229353900.0,-7057950532.2300005,0.0,1.0,5061879720.0,22.34500373742789,0.011768054484708301,True,False
2021-04-22,51690.96,91579.0,598.2,7782000.0,1754414000.0,0.0003,4733806425.84,10229353900.0,-7249961474.16,0.0,1.0,4655192400.0,22.261249078722482,0.011768054484708301,True,False
2021-04-23,51125.14,91579.0,613.04,7782000.0,1754414000.0,0.0003,4681989196.06,10229353900.0,-7301778703.94,0.0,1.0,4770677280.0,22.285754119188784,0.011768054484708301,True,False
2021-04-24,50047.84,91579.0,613.04,7782000.0,1754414000.0,0.0003,4583331139.36,10229353900.0,-7400436760.64,0.0,1.0,4770677280.0,22.285754119188784,0.011768054484708301,True,False
2021-04-25,49066.77,91579.0,613.04,7782000.0,1754414000.0,0.0003,4493485729.83,10229353900.0,-7490282170.17,0.0,1.0,4770677280.0,22.285754119188784,0.011768054484708301,True,False
2021-04-26,54001.39,91579.0,658.82,7782000.0,1754414000.0,0.0003,4945393294.81,10229353900.0,-7038374605.19,0.0,1.0,5126937240.0,22.3577742885964,0.011768054484708301,True,False
2021-04-27,55011.97,91579.0,676.99,7782000.0,1754414000.0,0.0001,5037941200.63,10229353900.0,-6945826699.37,0.0,1.0,5268336180.0,22.384980434281072,0.011768054484708301,True,False
